concept,lancaster_word,mapping_method,resolved
harness,HARNESS,exact_normalized,True
harp,HARP,exact_normalized,True
hash,HASH,exact_normalized,True
hat,HAT,exact_normalized,True
hatbox,HATBOX,exact_normalized,True
hatchet,HATCHET,exact_normalized,True
hawk,HAWK,exact_normalized,True
hay,HAY,exact_normalized,True
headband,HEADBAND,exact_normalized,True
headdress,HEADDRESS,exact_normalized,True
headlamp,HEADLAMP,exact_normalized,True
headlight,HEADLIGHT,exact_normalized,True
headphones,HEADPHONES,exact_normalized,True
headrest,HEADREST,exact_normalized,True
headscarf,HEADSCARF,exact_normalized,True
headset,HEADSET,exact_normalized,True
hearing_aid,,unresolved,False
hearse,HEARSE,exact_normalized,True
heater,HEATER,exact_normalized,True
hedge,HEDGE,exact_normalized,True
hedgehog,HEDGEHOG,exact_normalized,True
helicopter,HELICOPTER,exact_normalized,True
helmet,HELMET,exact_normalized,True
highchair,HIGHCHAIR,exact_normalized,True
highlighter,HIGHLIGHTER,exact_normalized,True
hinge,HINGE,exact_normalized,True
hip,HIP,exact_normalized,True
hippopotamus,HIPPOPOTAMUS,exact_normalized,True
hobbyhorse,HOBBYHORSE,exact_normalized,True
hockey_stick,,unresolved,False
hoe,HOE,exact_normalized,True
hole,HOLE,exact_normalized,True
holster,HOLSTER,exact_normalized,True
home_plate,,unresolved,False
honey,HONEY,exact_normalized,True
honeycomb,HONEYCOMB,exact_normalized,True
honeypot,HONEYPOT,exact_normalized,True
hood,HOOD,exact_normalized,True
hoodie,HOODIE,exact_normalized,True
hook1,,unresolved,False
hook2,,unresolved,False
hookah,HOOKAH,exact_normalized,True
hopscotch,HOPSCOTCH,exact_normalized,True
horn,HORN,exact_normalized,True
horse,HORSE,exact_normalized,True
horseshoe,HORSESHOE,exact_normalized,True
hose,HOSE,exact_normalized,True
hot_chocolate,,unresolved,False
hot_tub,,unresolved,False
hot-air_balloon,,unresolved,False
hot-water_bottle,,unresolved,False
hotdog,HOTDOG,exact_normalized,True
hotplate,HOTPLATE,exact_normalized,True
hourglass,HOURGLASS,exact_normalized,True
hovercraft,HOVERCRAFT,exact_normalized,True
hubcap,HUBCAP,exact_normalized,True
hula_hoop,,unresolved,False
hummingbird,HUMMINGBIRD,exact_normalized,True
hummus,HUMMUS,exact_normalized,True
humvee,HUMVEE,exact_normalized,True
hydrant,HYDRANT,exact_normalized,True
hyena,HYENA,exact_normalized,True
ice,ICE,exact_normalized,True
ice_cream,,unresolved,False
ice_cube,,unresolved,False
ice_pack,,unresolved,False
ice-cream_cone,,unresolved,False
icemaker,ICEMAKER,exact_normalized,True
icepick,ICEPICK,exact_normalized,True
iceskate,ICESKATE,exact_normalized,True
icicle,ICICLE,exact_normalized,True
iguana,IGUANA,exact_normalized,True
incense,INCENSE,exact_normalized,True
incubator,INCUBATOR,exact_normalized,True
inhaler,INHALER,exact_normalized,True
ink,INK,exact_normalized,True
inkwell,INKWELL,exact_normalized,True
insole,INSOLE,exact_normalized,True
iron,IRON,exact_normalized,True
ironing_board,,unresolved,False
ivy,IVY,exact_normalized,True
jack,JACK,exact_normalized,True
jacket,JACKET,exact_normalized,True
jackhammer,JACKHAMMER,exact_normalized,True
jalapeno,JALAPENO,exact_normalized,True
jam,JAM,exact_normalized,True
jar,JAR,exact_normalized,True
javelin,JAVELIN,exact_normalized,True
jeans,JEANS,exact_normalized,True
jeep,JEEP,exact_normalized,True
jelly_bean,,unresolved,False
jellyfish,JELLYFISH,exact_normalized,True
jersey,JERSEY,exact_normalized,True
jet,JET,exact_normalized,True
jetski,JETSKI,exact_normalized,True
jewel,JEWEL,exact_normalized,True
jewelry,JEWELRY,exact_normalized,True
jigsaw_puzzle,,unresolved,False
joystick,JOYSTICK,exact_normalized,True
jug,JUG,exact_normalized,True
juice,JUICE,exact_normalized,True
juicer1,,unresolved,False
juicer2,,unresolved,False
jukebox,JUKEBOX,exact_normalized,True
jump_rope,,unresolved,False
jumpsuit,JUMPSUIT,exact_normalized,True
kale,KALE,exact_normalized,True
kaleidoscope,KALEIDOSCOPE,exact_normalized,True
kangaroo,KANGAROO,exact_normalized,True
kayak,KAYAK,exact_normalized,True
kazoo,KAZOO,exact_normalized,True
kebab,KEBAB,exact_normalized,True
keg,KEG,exact_normalized,True
ketchup,KETCHUP,exact_normalized,True
kettle,KETTLE,exact_normalized,True
key,KEY,exact_normalized,True
keyboard,KEYBOARD,exact_normalized,True
keyhole,KEYHOLE,exact_normalized,True
kilt,KILT,exact_normalized,True
kimono,KIMONO,exact_normalized,True
kite,KITE,exact_normalized,True
kitten,KITTEN,exact_normalized,True
kiwi,KIWI,exact_normalized,True
knee,KNEE,exact_normalized,True
kneepad,KNEEPAD,exact_normalized,True
knife,KNIFE,exact_normalized,True
knitting,KNITTING,exact_normalized,True
knitting_needle,,unresolved,False
knob,KNOB,exact_normalized,True
knot,KNOT,exact_normalized,True
koala,KOALA,exact_normalized,True
lab_coat,,unresolved,False
ladder,LADDER,exact_normalized,True
ladle,LADLE,exact_normalized,True
ladybug,LADYBUG,exact_normalized,True
lamb,LAMB,exact_normalized,True
lamb_chop,,unresolved,False
lamp,LAMP,exact_normalized,True
lamppost,LAMPPOST,exact_normalized,True
lampshade,LAMPSHADE,exact_normalized,True
landmine,LANDMINE,exact_normalized,True
lantern,LANTERN,exact_normalized,True
lanyard,LANYARD,exact_normalized,True
laptop,LAPTOP,exact_normalized,True
lasagna,LASAGNA,exact_normalized,True
laser_pointer,,unresolved,False
latch,LATCH,exact_normalized,True
latte,LATTE,exact_normalized,True
laundry_basket,,unresolved,False
lava,LAVA,exact_normalized,True
lavender,LAVENDER,exact_normalized,True
lawnmower,LAWNMOWER,exact_normalized,True
leaf,LEAF,exact_normalized,True
leash,LEASH,exact_normalized,True
lectern,LECTERN,exact_normalized,True
leech,LEECH,exact_normalized,True
leek,LEEK,exact_normalized,True
leg,LEG,exact_normalized,True
leggings,LEGGINGS,exact_normalized,True
lego,LEGO,exact_normalized,True
lemon,LEMON,exact_normalized,True
lemonade,LEMONADE,exact_normalized,True
lens,LENS,exact_normalized,True
leopard,LEOPARD,exact_normalized,True
leotard,LEOTARD,exact_normalized,True
letter_opener,,unresolved,False
lettuce,LETTUCE,exact_normalized,True
license_plate,,unresolved,False
licorice,LICORICE,exact_normalized,True
lid,LID,exact_normalized,True
life_jacket,,unresolved,False
lifesaver,LIFESAVER,exact_normalized,True
light_switch,,unresolved,False
lightbulb,LIGHTBULB,exact_normalized,True
lighter,LIGHTER,exact_normalized,True
lightning_bug,,unresolved,False
lime,LIME,exact_normalized,True
limousine,LIMOUSINE,exact_normalized,True
lingerie,LINGERIE,exact_normalized,True
lion,LION,exact_normalized,True
lip_balm,,unresolved,False
lip_gloss,,unresolved,False
lipstick,LIPSTICK,exact_normalized,True
lizard,LIZARD,exact_normalized,True
llama,LLAMA,exact_normalized,True
lobster,LOBSTER,exact_normalized,True
lock,LOCK,exact_normalized,True
locker,LOCKER,exact_normalized,True
locket,LOCKET,exact_normalized,True
log,LOG,exact_normalized,True
loincloth,LOINCLOTH,exact_normalized,True
lollipop,LOLLIPOP,exact_normalized,True
loom,LOOM,exact_normalized,True
loveseat,LOVESEAT,exact_normalized,True
luggage,LUGGAGE,exact_normalized,True
lumber,LUMBER,exact_normalized,True
lunchbox,LUNCHBOX,exact_normalized,True
macadamia,MACADAMIA,exact_normalized,True
macaroni,MACARONI,exact_normalized,True
machete,MACHETE,exact_normalized,True
machine_gun,,unresolved,False
maggot,MAGGOT,exact_normalized,True
magnet,MAGNET,exact_normalized,True
magnifier,MAGNIFIER,exact_normalized,True
magnifying_glass,,unresolved,False
mail,MAIL,exact_normalized,True
mailbox,MAILBOX,exact_normalized,True
makeup,MAKEUP,exact_normalized,True
mallet,MALLET,exact_normalized,True
man,MAN,exact_normalized,True
manatee,MANATEE,exact_normalized,True
mandolin,MANDOLIN,exact_normalized,True
mango,MANGO,exact_normalized,True
manhole,MANHOLE,exact_normalized,True
mannequin,MANNEQUIN,exact_normalized,True
mantle,MANTLE,exact_normalized,True
map,MAP,exact_normalized,True
maple_syrup,,unresolved,False
marble,MARBLE,exact_normalized,True
margarita,MARGARITA,exact_normalized,True
marijuana,MARIJUANA,exact_normalized,True
marker,MARKER,exact_normalized,True
marmalade,MARMALADE,exact_normalized,True
marshmallow,MARSHMALLOW,exact_normalized,True
mascara,MASCARA,exact_normalized,True
mashed_potato,,unresolved,False
mask,MASK,exact_normalized,True
mast,MAST,exact_normalized,True
mat,MAT,exact_normalized,True
match,MATCH,exact_normalized,True
matchbox,MATCHBOX,exact_normalized,True
mattress,MATTRESS,exact_normalized,True
measuring_cup,,unresolved,False
meat,MEAT,exact_normalized,True
meat_grinder,,unresolved,False
meatball,MEATBALL,exact_normalized,True
meatloaf,MEATLOAF,exact_normalized,True
medal,MEDAL,exact_normalized,True
meerkat,MEERKAT,exact_normalized,True
megaphone,MEGAPHONE,exact_normalized,True
melon,MELON,exact_normalized,True
memory_stick,,unresolved,False
metal_detector,,unresolved,False
metronome,METRONOME,exact_normalized,True
microphone,MICROPHONE,exact_normalized,True
microscope,MICROSCOPE,exact_normalized,True
microwave,MICROWAVE,exact_normalized,True
milk,MILK,exact_normalized,True
milkshake,MILKSHAKE,exact_normalized,True
minivan,MINIVAN,exact_normalized,True
mint,MINT,exact_normalized,True
mirror,MIRROR,exact_normalized,True
missile,MISSILE,exact_normalized,True
mistletoe,MISTLETOE,exact_normalized,True
mitten,MITTEN,exact_normalized,True
mixer,MIXER,exact_normalized,True
moccasin,MOCCASIN,exact_normalized,True
modem,MODEM,exact_normalized,True
mold1,,unresolved,False
mold2,,unresolved,False
mole,MOLE,exact_normalized,True
money,MONEY,exact_normalized,True
mongoose,MONGOOSE,exact_normalized,True
monkey,MONKEY,exact_normalized,True
moose,MOOSE,exact_normalized,True
mop,MOP,exact_normalized,True
mosquito,MOSQUITO,exact_normalized,True
mosquito_net,,unresolved,False
moss,MOSS,exact_normalized,True
moth,MOTH,exact_normalized,True
motherboard,MOTHERBOARD,exact_normalized,True
motorcycle,MOTORCYCLE,exact_normalized,True
mouse1,,unresolved,False
mouse2,,unresolved,False
mousepad,MOUSEPAD,exact_normalized,True
mousetrap,MOUSETRAP,exact_normalized,True
mousse,MOUSSE,exact_normalized,True
mouth,MOUTH,exact_normalized,True
mouthpiece,MOUTHPIECE,exact_normalized,True
mud,MUD,exact_normalized,True
muff,MUFF,exact_normalized,True
muffin,MUFFIN,exact_normalized,True
mug,MUG,exact_normalized,True
mulberry,MULBERRY,exact_normalized,True
mulch,MULCH,exact_normalized,True
mullet,MULLET,exact_normalized,True
mushroom,MUSHROOM,exact_normalized,True
music_box,,unresolved,False
mussel,MUSSEL,exact_normalized,True
mustache,MUSTACHE,exact_normalized,True
mustard,MUSTARD,exact_normalized,True
nacho,NACHO,exact_normalized,True
nail,NAIL,exact_normalized,True
nail_clippers,,unresolved,False
nail_file,,unresolved,False
nail_polish,,unresolved,False
napkin,NAPKIN,exact_normalized,True
napkin_ring,,unresolved,False
navel,NAVEL,exact_normalized,True
neck,NECK,exact_normalized,True
necklace,NECKLACE,exact_normalized,True
needle,NEEDLE,exact_normalized,True
nest,NEST,exact_normalized,True
net,NET,exact_normalized,True
nightshirt,NIGHTSHIRT,exact_normalized,True
nightstand,NIGHTSTAND,exact_normalized,True
noisemaker,NOISEMAKER,exact_normalized,True
noodle,NOODLE,exact_normalized,True
noose,NOOSE,exact_normalized,True
nose,NOSE,exact_normalized,True
notebook,NOTEBOOK,exact_normalized,True
notepad,NOTEPAD,exact_normalized,True
nut,NUT,exact_normalized,True
nutcracker,NUTCRACKER,exact_normalized,True
oar,OAR,exact_normalized,True
oatmeal,OATMEAL,exact_normalized,True
octopus,OCTOPUS,exact_normalized,True
odometer,ODOMETER,exact_normalized,True
oil,OIL,exact_normalized,True
oilcan,OILCAN,exact_normalized,True
okra,OKRA,exact_normalized,True
olive,OLIVE,exact_normalized,True
omelet,OMELET,exact_normalized,True
onion,ONION,exact_normalized,True
orange,ORANGE,exact_normalized,True
orange_rind,,unresolved,False
orangutan,ORANGUTAN,exact_normalized,True
orchid,ORCHID,exact_normalized,True
organ,ORGAN,exact_normalized,True
origami,ORIGAMI,exact_normalized,True
ostrich,OSTRICH,exact_normalized,True
otter,OTTER,exact_normalized,True
ottoman,OTTOMAN,exact_normalized,True
outfit,OUTFIT,exact_normalized,True
outlet,OUTLET,exact_normalized,True
oven,OVEN,exact_normalized,True
overalls,OVERALLS,exact_normalized,True
owl,OWL,exact_normalized,True
oyster,OYSTER,exact_normalized,True
pacifier,PACIFIER,exact_normalized,True
paddle,PADDLE,exact_normalized,True
padlock,PADLOCK,exact_normalized,True
paint,PAINT,exact_normalized,True
paintbrush,PAINTBRUSH,exact_normalized,True
painting,PAINTING,exact_normalized,True
pajamas,PAJAMAS,exact_normalized,True
palette,PALETTE,exact_normalized,True
pallet,PALLET,exact_normalized,True
palm_tree,,unresolved,False
pan,PAN,exact_normalized,True
pancake,PANCAKE,exact_normalized,True
panda,PANDA,exact_normalized,True
panther,PANTHER,exact_normalized,True
panties,PANTIES,exact_normalized,True
pants,PANTS,exact_normalized,True
pantsuit,PANTSUIT,exact_normalized,True
pantyhose,PANTYHOSE,exact_normalized,True
papaya,PAPAYA,exact_normalized,True
paper,PAPER,exact_normalized,True
paper_bag,,unresolved,False
paper_plate,,unresolved,False
paper_towel,,unresolved,False
paperclip,PAPERCLIP,exact_normalized,True
paperweight,PAPERWEIGHT,exact_normalized,True
parachute,PARACHUTE,exact_normalized,True
parfait,PARFAIT,exact_normalized,True
parking_meter,,unresolved,False
parrot,PARROT,exact_normalized,True
parsley,PARSLEY,exact_normalized,True
pasta,PASTA,exact_normalized,True
pastry,PASTRY,exact_normalized,True
patch,PATCH,exact_normalized,True
patty,PATTY,exact_normalized,True
payphone,PAYPHONE,exact_normalized,True
pea,PEA,exact_normalized,True
peach,PEACH,exact_normalized,True
peacock,PEACOCK,exact_normalized,True
peanut,PEANUT,exact_normalized,True
peanut_butter,,unresolved,False
pear,PEAR,exact_normalized,True
pearl,PEARL,exact_normalized,True
pecan,PECAN,exact_normalized,True
pedal,PEDAL,exact_normalized,True
pedometer,PEDOMETER,exact_normalized,True
peeler,PEELER,exact_normalized,True
peg,PEG,exact_normalized,True
pelican,PELICAN,exact_normalized,True
pen,PEN,exact_normalized,True
pencil,PENCIL,exact_normalized,True
pencil_sharpener,,unresolved,False
pendulum,PENDULUM,exact_normalized,True
penguin,PENGUIN,exact_normalized,True
penholder,PENHOLDER,exact_normalized,True
penlight,PENLIGHT,exact_normalized,True
pennant,PENNANT,exact_normalized,True
pepper_mill,,unresolved,False
pepper1,,unresolved,False
pepper2,,unresolved,False
peppermint,PEPPERMINT,exact_normalized,True
pepperoni,PEPPERONI,exact_normalized,True
perfume,PERFUME,exact_normalized,True
periscope,PERISCOPE,exact_normalized,True
pesto,PESTO,exact_normalized,True
pet_food,,unresolved,False
petal,PETAL,exact_normalized,True
petri_dish,,unresolved,False
pheasant,PHEASANT,exact_normalized,True
phone,PHONE,exact_normalized,True
phone_booth,,unresolved,False
photo_booth,,unresolved,False
photograph,PHOTOGRAPH,exact_normalized,True
piano,PIANO,exact_normalized,True
pickax,PICKAX,exact_normalized,True
pickle,PICKLE,exact_normalized,True
pie,PIE,exact_normalized,True
piecrust,PIECRUST,exact_normalized,True
pig,PIG,exact_normalized,True
pigeon,PIGEON,exact_normalized,True
piggy_bank,,unresolved,False
piglet,PIGLET,exact_normalized,True
pill,PILL,exact_normalized,True
pillbox,PILLBOX,exact_normalized,True
pillow,PILLOW,exact_normalized,True
pin,PIN,exact_normalized,True
pinball,PINBALL,exact_normalized,True
pincushion,PINCUSHION,exact_normalized,True
pine_needle,,unresolved,False
pine_tree,,unresolved,False
pineapple,PINEAPPLE,exact_normalized,True
pinecone,PINECONE,exact_normalized,True
ping-pong_table,,unresolved,False
pinwheel,PINWHEEL,exact_normalized,True
pipe1,,unresolved,False
pipe2,,unresolved,False
pistachio,PISTACHIO,exact_normalized,True
pita,PITA,exact_normalized,True
pitcher,PITCHER,exact_normalized,True
pitchfork,PITCHFORK,exact_normalized,True
pizza,PIZZA,exact_normalized,True
place_mat,,unresolved,False
plant,PLANT,exact_normalized,True
plaster_cast,,unresolved,False
plastic_film,,unresolved,False
plate,PLATE,exact_normalized,True
platypus,PLATYPUS,exact_normalized,True
playing_card,,unresolved,False
playpen,PLAYPEN,exact_normalized,True
pliers,PLIERS,exact_normalized,True
plug,PLUG,exact_normalized,True
plum,PLUM,exact_normalized,True
plunger,PLUNGER,exact_normalized,True
pocket,POCKET,exact_normalized,True
pocket_watch,,unresolved,False
pocketknife,POCKETKNIFE,exact_normalized,True
pogo_stick,,unresolved,False
poinsettia,POINSETTIA,exact_normalized,True
poker,POKER,exact_normalized,True
polar_bear,,unresolved,False
polaroid,POLAROID,exact_normalized,True
pole,POLE,exact_normalized,True
police_car,,unresolved,False
polisher,POLISHER,exact_normalized,True
polo_shirt,,unresolved,False
polygraph,POLYGRAPH,exact_normalized,True
pom-pom,,unresolved,False
pomegranate,POMEGRANATE,exact_normalized,True
pony,PONY,exact_normalized,True
poodle,POODLE,exact_normalized,True
pool_table,,unresolved,False
popcorn,POPCORN,exact_normalized,True
poppy,POPPY,exact_normalized,True
popsicle,POPSICLE,exact_normalized,True
porcupine,PORCUPINE,exact_normalized,True
porthole,PORTHOLE,exact_normalized,True
possum,POSSUM,exact_normalized,True
poster,POSTER,exact_normalized,True
pot,POT,exact_normalized,True
potato,POTATO,exact_normalized,True
potholder,POTHOLDER,exact_normalized,True
pothole,POTHOLE,exact_normalized,True
potpie,POTPIE,exact_normalized,True
potpourri,POTPOURRI,exact_normalized,True
powder,POWDER,exact_normalized,True
power_line,,unresolved,False
praying_mantis,,unresolved,False
pretzel,PRETZEL,exact_normalized,True
printer,PRINTER,exact_normalized,True
prism,PRISM,exact_normalized,True
projector,PROJECTOR,exact_normalized,True
propeller,PROPELLER,exact_normalized,True
prune,PRUNE,exact_normalized,True
puck,PUCK,exact_normalized,True
pudding,PUDDING,exact_normalized,True
puddle,PUDDLE,exact_normalized,True
puffin,PUFFIN,exact_normalized,True
pug,PUG,exact_normalized,True
pulley,PULLEY,exact_normalized,True
pulpit,PULPIT,exact_normalized,True
pump,PUMP,exact_normalized,True
pumpkin,PUMPKIN,exact_normalized,True
punch1,,unresolved,False
punch2,,unresolved,False
punching_bag,,unresolved,False
puppet,PUPPET,exact_normalized,True
puppy,PUPPY,exact_normalized,True
purse,PURSE,exact_normalized,True
quad,QUAD,exact_normalized,True
quesadilla,QUESADILLA,exact_normalized,True
quiche,QUICHE,exact_normalized,True
quill,QUILL,exact_normalized,True
quilt,QUILT,exact_normalized,True
rabbit,RABBIT,exact_normalized,True
raccoon,RACCOON,exact_normalized,True
racehorse,RACEHORSE,exact_normalized,True
rack1,,unresolved,False
rack2,,unresolved,False
racket,RACKET,exact_normalized,True
radar,RADAR,exact_normalized,True
radiator,RADIATOR,exact_normalized,True
radio,RADIO,exact_normalized,True
radish,RADISH,exact_normalized,True
raft,RAFT,exact_normalized,True
rag,RAG,exact_normalized,True
railing,RAILING,exact_normalized,True
rain_gauge,,unresolved,False
raincoat,RAINCOAT,exact_normalized,True
raisin,RAISIN,exact_normalized,True
rake,RAKE,exact_normalized,True
ram,RAM,exact_normalized,True
ramp,RAMP,exact_normalized,True
raspberry,RASPBERRY,exact_normalized,True
rat,RAT,exact_normalized,True
ratchet,RATCHET,exact_normalized,True
rattle,RATTLE,exact_normalized,True
rattlesnake,RATTLESNAKE,exact_normalized,True
ravioli,RAVIOLI,exact_normalized,True
razor,RAZOR,exact_normalized,True
razor_blade,,unresolved,False
ready_meal,,unresolved,False
rearview_mirror,,unresolved,False
recliner,RECLINER,exact_normalized,True
record,RECORD,exact_normalized,True
record_player,,unresolved,False
recorder,RECORDER,exact_normalized,True
red_carpet,,unresolved,False
reel,REEL,exact_normalized,True
refrigerator,REFRIGERATOR,exact_normalized,True
reindeer,REINDEER,exact_normalized,True
remote_control,,unresolved,False
retainer,RETAINER,exact_normalized,True
revolver,REVOLVER,exact_normalized,True
revolving_door,,unresolved,False
rhinoceros,RHINOCEROS,exact_normalized,True
rhubarb,RHUBARB,exact_normalized,True
ribbon,RIBBON,exact_normalized,True
rice,RICE,exact_normalized,True
rickshaw,RICKSHAW,exact_normalized,True
rifle,RIFLE,exact_normalized,True
rim,RIM,exact_normalized,True
ring,RING,exact_normalized,True
riser,RISER,exact_normalized,True
road_sign,,unresolved,False
roadsweeper,ROADSWEEPER,exact_normalized,True
robe,ROBE,exact_normalized,True
robot,ROBOT,exact_normalized,True
rock,ROCK,exact_normalized,True
rocket,ROCKET,exact_normalized,True
rocking_chair,,unresolved,False
rocking_horse,,unresolved,False
roll,ROLL,exact_normalized,True
roller,ROLLER,exact_normalized,True
roller_coaster,,unresolved,False
rollerblade,ROLLERBLADE,exact_normalized,True
rollerskate,ROLLERSKATE,exact_normalized,True
rolling_pin,,unresolved,False
roof_rack,,unresolved,False
rooster,ROOSTER,exact_normalized,True
root,ROOT,exact_normalized,True
rope,ROPE,exact_normalized,True
rosary,ROSARY,exact_normalized,True
rose,ROSE,exact_normalized,True
roulette_wheel,,unresolved,False
router,ROUTER,exact_normalized,True
rubber_band,,unresolved,False
ruby,RUBY,exact_normalized,True
rudder,RUDDER,exact_normalized,True
rug,RUG,exact_normalized,True
ruler,RULER,exact_normalized,True
rust,RUST,exact_normalized,True
saddle,SADDLE,exact_normalized,True
safety_pin,,unresolved,False
saffron,SAFFRON,exact_normalized,True
sail,SAIL,exact_normalized,True
sailboat,SAILBOAT,exact_normalized,True
salad,SALAD,exact_normalized,True
salami,SALAMI,exact_normalized,True
saltshaker,SALTSHAKER,exact_normalized,True
sand,SAND,exact_normalized,True
sandal,SANDAL,exact_normalized,True
sandbag,SANDBAG,exact_normalized,True
sandbox,SANDBOX,exact_normalized,True
sandcastle,SANDCASTLE,exact_normalized,True
sandpaper,SANDPAPER,exact_normalized,True
sandwich,SANDWICH,exact_normalized,True
sarcophagus,SARCOPHAGUS,exact_normalized,True
sardine,SARDINE,exact_normalized,True
satellite,SATELLITE,exact_normalized,True
satellite_dish,,unresolved,False
sauce,SAUCE,exact_normalized,True
saucer,SAUCER,exact_normalized,True
sauerkraut,SAUERKRAUT,exact_normalized,True
sausage,SAUSAGE,exact_normalized,True
saw,SAW,exact_normalized,True
sawhorse,SAWHORSE,exact_normalized,True
saxophone,SAXOPHONE,exact_normalized,True
scaffold,SCAFFOLD,exact_normalized,True
scaffolding,SCAFFOLDING,exact_normalized,True
scale,SCALE,exact_normalized,True
scallion,SCALLION,exact_normalized,True
scallop,SCALLOP,exact_normalized,True
scalpel,SCALPEL,exact_normalized,True
scanner,SCANNER,exact_normalized,True
scarecrow,SCARECROW,exact_normalized,True
scarf,SCARF,exact_normalized,True
school_bus,,unresolved,False
scissors,SCISSORS,exact_normalized,True
scone,SCONE,exact_normalized,True
scoop,SCOOP,exact_normalized,True
scooter,SCOOTER,exact_normalized,True
scoreboard,SCOREBOARD,exact_normalized,True
scorpion,SCORPION,exact_normalized,True
scrabble,SCRABBLE,exact_normalized,True
scrambled_egg,,unresolved,False
scraper,SCRAPER,exact_normalized,True
screen1,,unresolved,False
screen2,,unresolved,False
screw,SCREW,exact_normalized,True
screwdriver,SCREWDRIVER,exact_normalized,True
scuba,SCUBA,exact_normalized,True
sea_urchin,,unresolved,False
seafood,SEAFOOD,exact_normalized,True
seagull,SEAGULL,exact_normalized,True
seahorse,SEAHORSE,exact_normalized,True
seal,SEAL,exact_normalized,True
seaplane,SEAPLANE,exact_normalized,True
seatbelt,SEATBELT,exact_normalized,True
seaweed,SEAWEED,exact_normalized,True
seed,SEED,exact_normalized,True
seesaw,SEESAW,exact_normalized,True
seismograph,SEISMOGRAPH,exact_normalized,True
sequin,SEQUIN,exact_normalized,True
sewage,SEWAGE,exact_normalized,True
sewing_kit,,unresolved,False
sewing_machine,,unresolved,False
shaker,SHAKER,exact_normalized,True
shark,SHARK,exact_normalized,True
shaving_cream,,unresolved,False
shawl,SHAWL,exact_normalized,True
shears,SHEARS,exact_normalized,True
sheath,SHEATH,exact_normalized,True
sheep,SHEEP,exact_normalized,True
sheet,SHEET,exact_normalized,True
shelf,SHELF,exact_normalized,True
shell1,,unresolved,False
shell2,,unresolved,False
shell3,,unresolved,False
shield,SHIELD,exact_normalized,True
ship,SHIP,exact_normalized,True
shirt,SHIRT,exact_normalized,True
shoe,SHOE,exact_normalized,True
shoe_polish,,unresolved,False
shoehorn,SHOEHORN,exact_normalized,True
shoelace,SHOELACE,exact_normalized,True
shopping_basket,,unresolved,False
shopping_cart,,unresolved,False
shortbread,SHORTBREAD,exact_normalized,True
shorts,SHORTS,exact_normalized,True
shoulder,SHOULDER,exact_normalized,True
shovel,SHOVEL,exact_normalized,True
shower,SHOWER,exact_normalized,True
shower_cap,,unresolved,False
shower_curtain,,unresolved,False
showerhead,SHOWERHEAD,exact_normalized,True
shredder,SHREDDER,exact_normalized,True
shrimp,SHRIMP,exact_normalized,True
shuffleboard,SHUFFLEBOARD,exact_normalized,True
shutter,SHUTTER,exact_normalized,True
sickle,SICKLE,exact_normalized,True
sidecar,SIDECAR,exact_normalized,True
sifter,SIFTER,exact_normalized,True
silicone,SILICONE,exact_normalized,True
silverware,SILVERWARE,exact_normalized,True
sim_card,,unresolved,False
sink,SINK,exact_normalized,True
siren,SIREN,exact_normalized,True
skateboard,SKATEBOARD,exact_normalized,True
skeleton,SKELETON,exact_normalized,True
skewer,SKEWER,exact_normalized,True
ski,SKI,exact_normalized,True
ski_boots,,unresolved,False
ski_lift,,unresolved,False
ski_pole,,unresolved,False
skin,SKIN,exact_normalized,True
skirt,SKIRT,exact_normalized,True
skull,SKULL,exact_normalized,True
skunk,SKUNK,exact_normalized,True
sled,SLED,exact_normalized,True
sledgehammer,SLEDGEHAMMER,exact_normalized,True
sleeping_bag,,unresolved,False
slicer,SLICER,exact_normalized,True
slide,SLIDE,exact_normalized,True
slime,SLIME,exact_normalized,True
sling,SLING,exact_normalized,True
slingshot,SLINGSHOT,exact_normalized,True
slipper,SLIPPER,exact_normalized,True
slot,SLOT,exact_normalized,True
slot_machine,,unresolved,False
sloth,SLOTH,exact_normalized,True
slug,SLUG,exact_normalized,True
smoke_alarm,,unresolved,False
smoothie,SMOOTHIE,exact_normalized,True
snack,SNACK,exact_normalized,True
snail,SNAIL,exact_normalized,True
snake,SNAKE,exact_normalized,True
snorkel,SNORKEL,exact_normalized,True
snow,SNOW,exact_normalized,True
snowball,SNOWBALL,exact_normalized,True
snowboard,SNOWBOARD,exact_normalized,True
snowman,SNOWMAN,exact_normalized,True
snowmobile,SNOWMOBILE,exact_normalized,True
snowplow,SNOWPLOW,exact_normalized,True
snowshoe,SNOWSHOE,exact_normalized,True
snowsuit,SNOWSUIT,exact_normalized,True
soap,SOAP,exact_normalized,True
soccer_ball,,unresolved,False
sock,SOCK,exact_normalized,True
soda,SODA,exact_normalized,True
soda_fountain,,unresolved,False
sofa_bed,,unresolved,False
solar_panel,,unresolved,False
soldering_iron,,unresolved,False
sombrero,SOMBRERO,exact_normalized,True
sonogram,SONOGRAM,exact_normalized,True
sorbet,SORBET,exact_normalized,True
souffle,SOUFFLE,exact_normalized,True
soup,SOUP,exact_normalized,True
soy_sauce,,unresolved,False
space_shuttle,,unresolved,False
spacesuit,SPACESUIT,exact_normalized,True
spaghetti,SPAGHETTI,exact_normalized,True
spam,SPAM,exact_normalized,True
spareribs,SPARERIBS,exact_normalized,True
spark_plug,,unresolved,False
sparkler,SPARKLER,exact_normalized,True
spatula,SPATULA,exact_normalized,True
