concept,concept_subtype,mismatch_concept,mismatch_subtype,mismatch_mode
eraser,office supply,chain,tool,cross_subtype
espresso,drink,beer,drink,within_subtype
exerciser,sports equipment,chainsaw,"electronic device, weapon, tool",cross_subtype
exhaust_pipe,part of car,taillight,part of car,within_subtype
extinguisher,Noun,chair,furniture,cross_subtype
eye,body part,shoulder,body part,within_subtype
eye_patch,"medical equipment, clothing, clothing accessory",chalice,container,cross_subtype
eyedropper,medical equipment,hearing_aid,medical equipment,within_subtype
eyeliner,Noun,champagne,drink,cross_subtype
eyepiece,Noun,barrette,Noun,within_subtype
face,body part,chandelier,home decor,cross_subtype
face_mask,sports equipment,puck,sports equipment,within_subtype
fan,electronic device,chaps,clothing,cross_subtype
fast_food,food,stew,food,within_subtype
faucet,Noun,chariot,vehicle,cross_subtype
feather,Noun,lava,Noun,within_subtype
fence,Noun,cheese,"food, dessert",cross_subtype
fencepost,#N/A,shaving_cream,#N/A,within_subtype
fern,plant,cheeseburger,food,cross_subtype
ferret,animal,dog,animal,within_subtype
ferris_wheel,#N/A,cheesecake,"food, dessert",cross_subtype
ferry,vehicle,submarine,vehicle,within_subtype
fig,"food, fruit",cheetah,animal,cross_subtype
figurine,home decor,wallpaper,home decor,within_subtype
file1,tool,cherry,"food, fruit",cross_subtype
file2,office supply,paper,office supply,within_subtype
filing_cabinet,"furniture, container",chess_piece,#N/A,cross_subtype
film,Noun,eggshell,Noun,within_subtype
filter,part of car,chessboard,Noun,cross_subtype
finger,body part,nose,body part,within_subtype
fingerprint,Noun,chest1,body part,cross_subtype
fire,Noun,antenna,Noun,within_subtype
fire_alarm,#N/A,chest2,"furniture, container",cross_subtype
fire_hydrant,#N/A,napkin_ring,#N/A,within_subtype
fire_pit,#N/A,chick,"animal, bird",cross_subtype
firecracker,Noun,tag,Noun,within_subtype
fireplace,home decor,chicken1,food,cross_subtype
firetruck,vehicle,truck,vehicle,within_subtype
firewood,Noun,chicken2,animal,cross_subtype
fireworks,Noun,toilet,Noun,within_subtype
first-aid_kit,medical equipment,chicken_wire,#N/A,cross_subtype
fish,"animal, food",clam,"animal, food",within_subtype
fishbowl,container,chickpea,"food, vegetable",cross_subtype
fishhook,Noun,silicone,Noun,within_subtype
fishing_pole,#N/A,chihuahua,animal,cross_subtype
fishnet_stockings,clothing,tube_top,clothing,within_subtype
flag,decoration,chili,food,cross_subtype
flagpole,Noun,shower,Noun,within_subtype
flamethrower,weapon,chime,musical instrument,cross_subtype
flamingo,"animal, bird",cardinal,"animal, bird",within_subtype
flan,"food, dessert",chimney,Noun,cross_subtype
flashbulb,Noun,sand,Noun,within_subtype
flashlight,Noun,chin,body part,cross_subtype
flask,container,wheelbarrow,container,within_subtype
flatiron,Noun,chinchilla,animal,cross_subtype
flip_flop,clothing,clothes,clothing,within_subtype
flipper,sports equipment,chip,Noun,cross_subtype
float,Verb,paint,Verb,within_subtype
floss,Verb,chipmunk,animal,cross_subtype
flour,food,salami,food,within_subtype
flower,plant,chips,food,cross_subtype
flute,musical instrument,chime,musical instrument,within_subtype
fly,"animal, insect",chisel,tool,cross_subtype
flypaper,Noun,bathmat,Noun,within_subtype
flyswatter,tool,chive,"plant, food, vegetable",cross_subtype
foam,Noun,awning,Noun,within_subtype
folder,office supply,chocolate,"food, dessert",cross_subtype
fondue,food,spring_roll,food,within_subtype
food_processor,"electronic device, kitchen appliance",chopsticks,tool,cross_subtype
foot,body part,skeleton,body part,within_subtype
football,sports equipment,christmas_card,#N/A,cross_subtype
football_helmet,sports equipment,face_mask,sports equipment,within_subtype
footbath,container,christmas_tree,home decor,cross_subtype
footprint,Noun,knot,Noun,within_subtype
footrest,furniture,chute,Noun,cross_subtype
fork,tool,polisher,tool,within_subtype
forklift,vehicle,cigar,Noun,cross_subtype
fossil,Noun,trophy,Noun,within_subtype
fountain_pen,"office supply, tool",cigarette,Noun,cross_subtype
fox,animal,toad,animal,within_subtype
frame,home decor,cigarette_butt,#N/A,cross_subtype
freezer,"electronic device, kitchen appliance",toaster,"electronic device, kitchen appliance",within_subtype
french_fries,food,cigarette_holder,#N/A,cross_subtype
french_horn,musical instrument,horn,musical instrument,within_subtype
frisbee,"toy, sports equipment",cilantro,"plant, food, vegetable",cross_subtype
frog,animal,mouse1,animal,within_subtype
fruit,"food, fruit",cinnamon,food,cross_subtype
fruitcake,"food, dessert",ice_cream,"food, dessert",within_subtype
fudge,"food, dessert",clam,"animal, food",cross_subtype
fungus,Noun,chalk,Noun,within_subtype
funnel,"kitchen tool, tool",clarinet,musical instrument,cross_subtype
fur_coat,clothing,bikini,clothing,within_subtype
furnace,Noun,cleat,sports equipment,cross_subtype
fuse,Noun,windowsill,Noun,within_subtype
gallows,Noun,cleaver,"weapon, kitchen tool, tool",cross_subtype
game,Noun,flashlight,Noun,within_subtype
garbage,container,clipboard,office supply,cross_subtype
garbage_truck,vehicle,hot-air_balloon,vehicle,within_subtype
gargoyle,decoration,clipper1,tool,cross_subtype
garlic,"food, vegetable",pepper2,"food, vegetable",within_subtype
garter,clothing,clipper2,tool,cross_subtype
gas_mask,#N/A,tree_trunk,#N/A,within_subtype
gasket,part of car,cloak,clothing,cross_subtype
gate,Noun,hairpin,Noun,within_subtype
gauge,Noun,closet,"furniture, container",cross_subtype
gauze,medical equipment,sling,medical equipment,within_subtype
gavel,tool,clothes,clothing,cross_subtype
gazelle,animal,jellyfish,animal,within_subtype
gear,Noun,clove,food,cross_subtype
gearshift,part of car,odometer,part of car,within_subtype
gel,Noun,clover,plant,cross_subtype
gem,Noun,mantle,Noun,within_subtype
generator,electronic device,coal,Noun,cross_subtype
gift,Noun,trapdoor,Noun,within_subtype
ginger,food,coaster,home decor,cross_subtype
gingerbread_man,food,honey,food,within_subtype
giraffe,animal,coat,clothing,cross_subtype
girl,Noun,guillotine,Noun,within_subtype
glass,container,coat_rack,furniture,cross_subtype
glasses,clothing accessory,buckle,clothing accessory,within_subtype
globe,home decor,cobra,animal,cross_subtype
glove,"clothing, clothing accessory",visor,"clothing, clothing accessory",within_subtype
glue,office supply,cockatoo,"animal, bird",cross_subtype
go-kart,vehicle,train_car,vehicle,within_subtype
goalpost,sports equipment,cockroach,"animal, insect",cross_subtype
goat,"animal, food",sardine,"animal, food",within_subtype
goblet,container,cocktail,drink,cross_subtype
goggles,sports equipment,helmet,sports equipment,within_subtype
gold,Noun,coconut,"food, fruit",cross_subtype
goldfish,animal,kitten,animal,within_subtype
golf_cart,vehicle,cocoon,Noun,cross_subtype
golf_club,sports equipment,balance_beam,sports equipment,within_subtype
gondola,vehicle,coffee,drink,cross_subtype
gong,musical instrument,tuba,musical instrument,within_subtype
goose,"animal, bird, food",coffee_bean,food,cross_subtype
gopher,animal,sloth,animal,within_subtype
gorilla,"animal, food",coffee_filter,#N/A,cross_subtype
gourd,"home decor, vegetable",coffee_pot,container,within_subtype
graffiti,decoration,coffee_table,furniture,cross_subtype
grain,food,wrap,food,within_subtype
gramophone,Noun,coffeemaker,"electronic device, kitchen appliance",cross_subtype
granite,Noun,woman,Noun,within_subtype
granola,food,coffin,container,cross_subtype
grape,"food, fruit",plum,"food, fruit",within_subtype
grapefruit,"food, fruit",coil,tool,cross_subtype
grapevine,plant,hedge,plant,within_subtype
grass,plant,coin,Noun,cross_subtype
grasshopper,"animal, insect",lightning_bug,"animal, insect",within_subtype
grate,Noun,coleslaw,food,cross_subtype
grater,"kitchen tool, tool",can_opener,"kitchen tool, tool",within_subtype
gravel,Noun,comb,Verb,cross_subtype
gravestone,Noun,cigar,Noun,within_subtype
gravy,food,combination_lock,#N/A,cross_subtype
green_beans,"food, vegetable",sprouts,"food, vegetable",within_subtype
grenade,weapon,comic_book,#N/A,cross_subtype
grill,Noun,firecracker,Noun,within_subtype
grille,part of car,compass,Noun,cross_subtype
grinder,"kitchen tool, tool",can_opener,"kitchen tool, tool",within_subtype
grits,food,compost,Noun,cross_subtype
groundhog,animal,hyena,animal,within_subtype
guacamole,food,computer,electronic device,cross_subtype
guardrail,Noun,thermometer,Noun,within_subtype
guillotine,Noun,computer_screen,electronic device,cross_subtype
guinea_pig,animal,maggot,animal,within_subtype
guitar,musical instrument,confetti,Noun,cross_subtype
gum,food,casserole,food,within_subtype
gumball,food,contact_lens,#N/A,cross_subtype
gumdrop,food,bean,food,within_subtype
gun,weapon,container,container,cross_subtype
gurney,medical equipment,swab,medical equipment,within_subtype
gutter,Noun,cooker,"electronic device, container, kitchen appliance",cross_subtype
gyro,food,cream_cheese,food,within_subtype
gyroscope,toy,cookie,"food, dessert",cross_subtype
hail,Verb,tackle,Verb,within_subtype
hair,body part,cookie_cutter,kitchen utensil,cross_subtype
hairbrush,Noun,gallows,Noun,within_subtype
hairdryer,electronic device,cookie_sheet,kitchen utensil,cross_subtype
hairnet,Noun,flagpole,Noun,within_subtype
hairpin,Noun,coop,container,cross_subtype
hairspray,Noun,scaffold,Noun,within_subtype
ham,food,copier,electronic device,cross_subtype
hamburger,food,jelly_bean,food,within_subtype
hammer,"weapon, tool",coral,animal,cross_subtype
hammock,furniture,cot,furniture,within_subtype
hamster,animal,cord,Noun,cross_subtype
hand,body part,eye,body part,within_subtype
handbrake,part of car,cordon_bleu,food,cross_subtype
handcuff,Verb,tackle,Verb,within_subtype
handkerchief,clothing accessory,cork,Noun,cross_subtype
handle,Verb,lock,Verb,within_subtype
handlebar,Noun,corkboard,office supply,cross_subtype
handprint,Noun,dice,Noun,within_subtype
hanger,Noun,corkscrew,"kitchen tool, tool",cross_subtype
hard_disk,#N/A,road_sign,#N/A,within_subtype
harmonica,musical instrument,corn,"plant, food, vegetable",cross_subtype
harness,Noun,doorbell,Noun,within_subtype
harp,musical instrument,cornbread,food,cross_subtype
hash,food,licorice,food,within_subtype
hat,"clothing, clothing accessory",cornhusk,#N/A,cross_subtype
hatbox,container,oilcan,container,within_subtype
hatchet,tool,cornmeal,food,cross_subtype
hawk,"animal, bird",swan,"animal, bird",within_subtype
hay,food,cornucopia,home decor,cross_subtype
headband,"clothing, clothing accessory",bowtie,"clothing, clothing accessory",within_subtype
headdress,"clothing, clothing accessory",corsage,clothing accessory,cross_subtype
headlamp,#N/A,wooden_leg,#N/A,within_subtype
headlight,part of car,corset,clothing,cross_subtype
headphones,Noun,turf,Noun,within_subtype
headrest,part of car,costume,clothing,cross_subtype
headscarf,clothing,bra,clothing,within_subtype
headset,Noun,cot,furniture,cross_subtype
hearing_aid,medical equipment,ice_pack,medical equipment,within_subtype
hearse,vehicle,cotton_candy,food,cross_subtype
heater,Noun,hinge,Noun,within_subtype
hedge,plant,couch,furniture,cross_subtype
hedgehog,animal,koala,animal,within_subtype
helicopter,vehicle,cougar,animal,cross_subtype
helmet,sports equipment,flipper,sports equipment,within_subtype
highchair,furniture,coverall,clothing,cross_subtype
highlighter,office supply,corkboard,office supply,within_subtype
hinge,Noun,cow,animal,cross_subtype
hip,body part,leg,body part,within_subtype
hippopotamus,animal,crab,"animal, food",cross_subtype
hobbyhorse,toy,kaleidoscope,toy,within_subtype
hockey_stick,sports equipment,cracker,food,cross_subtype
hoe,tool,plunger,tool,within_subtype
hole,Noun,cranberry,"food, fruit",cross_subtype
holster,Noun,guardrail,Noun,within_subtype
home_plate,sports equipment,crane,Name,cross_subtype
honey,food,stuffing,food,within_subtype
honeycomb,Noun,crank,tool,cross_subtype
honeypot,container,keg,container,within_subtype
hood,clothing,crate,container,cross_subtype
hoodie,clothing,shirt,clothing,within_subtype
hook1,Noun,crayfish,"animal, food",cross_subtype
hook2,tool,clipper2,tool,within_subtype
hookah,Noun,crayon,toy,cross_subtype
hopscotch,Noun,pothole,Noun,within_subtype
horn,musical instrument,cream,Noun,cross_subtype
horse,animal,spider,animal,within_subtype
horseshoe,Noun,cream_cheese,food,cross_subtype
hose,tool,rope,tool,within_subtype
hot-air_balloon,vehicle,credit_card,#N/A,cross_subtype
hot-water_bottle,container,pan,container,within_subtype
hot_chocolate,drink,creme_brulee,"food, dessert",cross_subtype
hot_tub,container,locket,container,within_subtype
hotdog,food,crepe,"food, dessert",cross_subtype
hotplate,"electronic device, kitchen appliance",mixer,"electronic device, kitchen appliance",within_subtype
hourglass,home decor,crib,furniture,cross_subtype
hovercraft,vehicle,dirt_bike,vehicle,within_subtype
hubcap,part of car,croissant,food,cross_subtype
hula_hoop,toy,kite,toy,within_subtype
hummingbird,"animal, bird",cross,Verb,cross_subtype
hummus,food,coleslaw,food,within_subtype
humvee,vehicle,crossbow,weapon,cross_subtype
hydrant,Noun,crystal2,Noun,within_subtype
hyena,animal,crouton,food,cross_subtype
ice,"food, dessert",creme_brulee,"food, dessert",within_subtype
ice-cream_cone,"food, dessert",crow,"animal, bird",cross_subtype
ice_cream,"food, dessert",brownie,"food, dessert",within_subtype
ice_cube,"food, dessert",crowbar,"weapon, tool",cross_subtype
ice_pack,medical equipment,walker1,medical equipment,within_subtype
icemaker,"electronic device, kitchen appliance",crown,clothing,cross_subtype
icepick,"weapon, kitchen tool, tool",knife,"weapon, kitchen tool, tool",within_subtype
iceskate,sports equipment,crucifix,decoration,cross_subtype
icicle,Noun,noose,Noun,within_subtype
iguana,animal,cruise_ship,vehicle,cross_subtype
incense,Noun,gramophone,Noun,within_subtype
incubator,electronic device,crumb,food,cross_subtype
inhaler,medical equipment,first-aid_kit,medical equipment,within_subtype
ink,office supply,crutch,medical equipment,cross_subtype
inkwell,container,wallet,container,within_subtype
insole,clothing accessory,crystal1,Noun,cross_subtype
iron,electronic device,router,electronic device,within_subtype
ironing_board,#N/A,crystal2,Noun,cross_subtype
ivy,plant,aloe,plant,within_subtype
jack,tool,crystal_ball,home decor,cross_subtype
jacket,clothing,blazer,clothing,within_subtype
jackhammer,"electronic device, tool",cuckoo_clock,home decor,cross_subtype
jalapeno,"food, vegetable",beet,"food, vegetable",within_subtype
jam,food,cucumber,"food, vegetable",cross_subtype
jar,container,piggy_bank,container,within_subtype
javelin,sports equipment,cufflink,clothing accessory,cross_subtype
jeans,clothing,leotard,clothing,within_subtype
jeep,vehicle,cummerbund,"clothing, clothing accessory",cross_subtype
jelly_bean,food,cotton_candy,food,within_subtype
jellyfish,animal,cup,container,cross_subtype
jersey,clothing,pantsuit,clothing,within_subtype
jet,vehicle,cupcake,"food, dessert",cross_subtype
jetski,vehicle,speedboat,vehicle,within_subtype
jewel,decoration,curb,Noun,cross_subtype
jewelry,decoration,ring,decoration,within_subtype
jigsaw_puzzle,#N/A,curling_iron,"electronic device, tool",cross_subtype
joystick,electronic device,router,electronic device,within_subtype
jug,container,curry,food,cross_subtype
juice,drink,coffee,drink,within_subtype
juicer1,kitchen tool,curtain,home decor,cross_subtype
juicer2,"electronic device, kitchen appliance",microwave,"electronic device, kitchen appliance",within_subtype
jukebox,electronic device,cushion,Noun,cross_subtype
jump_rope,sports equipment,baton4,sports equipment,within_subtype
jumpsuit,clothing,cutting_board,kitchen tool,cross_subtype
kale,"plant, food, vegetable",asparagus,"plant, food, vegetable",within_subtype
kaleidoscope,toy,cymbal,musical instrument,cross_subtype
kangaroo,animal,warthog,animal,within_subtype
kayak,vehicle,dagger,weapon,cross_subtype
kazoo,musical instrument,harp,musical instrument,within_subtype
kebab,food,daisy,plant,cross_subtype
keg,container,bank,container,within_subtype
ketchup,food,dalmatian,animal,cross_subtype
kettle,"container, kitchen tool",measuring_cup,"container, kitchen tool",within_subtype
key,Noun,dandelion,plant,cross_subtype
keyboard,musical instrument,bassoon,musical instrument,within_subtype
keyhole,Noun,dart,"weapon, sports equipment",cross_subtype
kilt,clothing,beanie,clothing,within_subtype
kimono,clothing,dartboard,sports equipment,cross_subtype
kite,toy,dollhouse,toy,within_subtype
kitten,animal,dashboard,part of car,cross_subtype
kiwi,"food, fruit",apple,"food, fruit",within_subtype
knee,body part,deer,animal,cross_subtype
kneepad,sports equipment,ski,sports equipment,within_subtype
knife,"weapon, kitchen tool, tool",defibrillator,"electronic device, medical equipment",cross_subtype
knitting,Noun,hookah,Noun,within_subtype
knitting_needle,#N/A,denture,Noun,cross_subtype
knob,Noun,beehive,Noun,within_subtype
knot,Noun,desk,furniture,cross_subtype
koala,animal,rattlesnake,animal,within_subtype
lab_coat,clothing,dessert,"food, dessert",cross_subtype
ladder,tool,hose,tool,within_subtype
ladle,"kitchen tool, tool",detonator,Noun,cross_subtype
ladybug,"animal, insect",dragonfly,"animal, insect",within_subtype
lamb,"animal, food",dial,Verb,cross_subtype
lamb_chop,food,string_cheese,food,within_subtype
lamp,"electronic device, home decor",diamond,decoration,cross_subtype
lamppost,Noun,deodorant,Noun,within_subtype
lampshade,home decor,diaper,clothing,cross_subtype
landmine,weapon,dynamite,weapon,within_subtype
lantern,Noun,dip,food,cross_subtype
lanyard,clothing accessory,earring,clothing accessory,within_subtype
laptop,electronic device,dirt_bike,vehicle,cross_subtype
lasagna,food,syrup,food,within_subtype
laser_pointer,#N/A,dish,container,cross_subtype
latch,Noun,anchor,Noun,within_subtype
latte,drink,dishrag,Noun,cross_subtype
laundry_basket,container,fishbowl,container,within_subtype
lava,Noun,dishwasher,"electronic device, kitchen appliance",cross_subtype
lavender,plant,dandelion,plant,within_subtype
lawnmower,tool,dishwashing_liquid,#N/A,cross_subtype
leaf,Noun,mannequin,Noun,within_subtype
leash,Noun,diving_board,#N/A,cross_subtype
lectern,furniture,step_stool,furniture,within_subtype
leech,animal,dogfood,food,cross_subtype
leek,"plant, food, vegetable",bok_choy,"plant, food, vegetable",within_subtype
leg,body part,doghouse,container,cross_subtype
leggings,clothing,jeans,clothing,within_subtype
lego,toy,doily,home decor,cross_subtype
lemon,"food, fruit",fig,"food, fruit",within_subtype
lemonade,drink,doll,toy,cross_subtype
lens,Noun,key,Noun,within_subtype
leopard,animal,dollhouse,toy,cross_subtype
leotard,clothing,leggings,clothing,within_subtype
letter_opener,tool,dolly,Name,cross_subtype
lettuce,"plant, food, vegetable",broccoli,"plant, food, vegetable",within_subtype
license_plate,part of car,dolphin,animal,cross_subtype
licorice,food,soy_sauce,food,within_subtype
lid,Noun,donkey,animal,cross_subtype
life_jacket,clothing,swimsuit,clothing,within_subtype
lifesaver,Noun,donut,"food, dessert",cross_subtype
light_switch,#N/A,memory_stick,#N/A,within_subtype
lightbulb,Noun,doorhandle,#N/A,cross_subtype
lighter,tool,shovel,tool,within_subtype
lightning_bug,"animal, insect",doorknob,Noun,cross_subtype
lime,"food, fruit",pear,"food, fruit",within_subtype
limousine,vehicle,doorknocker,home decor,cross_subtype
lingerie,clothing,shoe,clothing,within_subtype
lion,animal,doormat,Noun,cross_subtype
lip_balm,#N/A,fire_hydrant,#N/A,within_subtype
lip_gloss,#N/A,doorstop,Noun,cross_subtype
lipstick,Noun,hydrant,Noun,within_subtype
lizard,animal,dough,food,cross_subtype
llama,animal,giraffe,animal,within_subtype
lobster,"animal, food",dragonfly,"animal, insect",cross_subtype
lock,Verb,sail,Verb,within_subtype
locker,container,drain,Noun,cross_subtype
locket,container,matchbox,container,within_subtype
log,Noun,drawer,container,cross_subtype
loincloth,clothing,shoe,clothing,within_subtype
lollipop,food,dreidel,toy,cross_subtype
loom,Noun,mousetrap,Noun,within_subtype
loveseat,furniture,dress,clothing,cross_subtype
luggage,container,breadbox,container,within_subtype
lumber,Noun,dresser,"furniture, container",cross_subtype
lunchbox,container,saltshaker,container,within_subtype
macadamia,food,drill,"electronic device, tool",cross_subtype
macaroni,food,candy,food,within_subtype
machete,weapon,drink,drink,cross_subtype
machine_gun,weapon,spear,weapon,within_subtype
maggot,animal,drum,musical instrument,cross_subtype
magnet,tool,shoehorn,tool,within_subtype
magnifier,tool,drumstick,Noun,cross_subtype
magnifying_glass,tool,shears,tool,within_subtype
mail,Noun,dryer,electronic device,cross_subtype
mailbox,container,bowl,container,within_subtype
makeup,Noun,duck,"animal, bird",cross_subtype
mallet,tool,brush,tool,within_subtype
man,Noun,duckling,"animal, bird",cross_subtype
manatee,animal,reindeer,animal,within_subtype
mandolin,musical instrument,duct,Noun,cross_subtype
mango,"food, fruit",coconut,"food, fruit",within_subtype
manhole,Noun,duct_tape,#N/A,cross_subtype
mannequin,Noun,domino,Noun,within_subtype
mantle,Noun,duffel_bag,container,cross_subtype
map,Noun,wand,Noun,within_subtype
maple_syrup,food,dumbbell,sports equipment,cross_subtype
marble,toy,doll,toy,within_subtype
margarita,drink,dumbwaiter,Noun,cross_subtype
marijuana,plant,grass,plant,within_subtype
marker,tool,dumpling,food,cross_subtype
marmalade,food,crumb,food,within_subtype
marshmallow,food,dumpster,container,cross_subtype
mascara,Noun,tarp,Noun,within_subtype
mashed_potato,food,duster,tool,cross_subtype
mask,clothing,garter,clothing,within_subtype
mast,Noun,dustpan,"container, tool",cross_subtype
mat,Noun,badge,Noun,within_subtype
match,tool,dynamite,weapon,cross_subtype
matchbox,container,jug,container,within_subtype
mattress,furniture,eagle,"animal, bird",cross_subtype
measuring_cup,"container, kitchen tool",kettle,"container, kitchen tool",within_subtype
meat,food,ear,body part,cross_subtype
meat_grinder,#N/A,roulette_wheel,#N/A,within_subtype
meatball,food,earplug,Noun,cross_subtype
meatloaf,food,spareribs,food,within_subtype
medal,Noun,earring,clothing accessory,cross_subtype
meerkat,animal,snail,animal,within_subtype
megaphone,Noun,earwig,"animal, insect",cross_subtype
melon,"food, fruit",raspberry,"food, fruit",within_subtype
memory_stick,#N/A,easel,Noun,cross_subtype
metal_detector,"electronic device, tool",vacuum,"electronic device, tool",within_subtype
metronome,Noun,easter_egg,food,cross_subtype
microphone,electronic device,incubator,electronic device,within_subtype
microscope,Noun,eclair,"food, dessert",cross_subtype
microwave,"electronic device, kitchen appliance",dishwasher,"electronic device, kitchen appliance",within_subtype
milk,drink,eel,"animal, food",cross_subtype
milkshake,"drink, dessert",egg,food,within_subtype
minivan,vehicle,egg_roll,food,cross_subtype
mint,"plant, food",seaweed,"plant, food",within_subtype
mirror,home decor,eggbeater,"kitchen tool, tool",cross_subtype
missile,weapon,blowgun,weapon,within_subtype
mistletoe,Noun,eggnog,drink,cross_subtype
mitten,"clothing, clothing accessory",muff,"clothing, clothing accessory",within_subtype
mixer,"electronic device, kitchen appliance",eggplant,"food, vegetable",cross_subtype
moccasin,clothing,jersey,clothing,within_subtype
modem,electronic device,eggshell,Noun,cross_subtype
mold1,container,wine_cooler,container,within_subtype
mold2,Noun,elbow,body part,cross_subtype
mole,animal,elephant,animal,within_subtype
money,Noun,electric_chair,electronic device,cross_subtype
mongoose,animal,chipmunk,animal,within_subtype
monkey,animal,emerald,Noun,cross_subtype
moose,animal,fox,animal,within_subtype
mop,tool,enchilada,food,cross_subtype
mosquito,"animal, insect",praying_mantis,"animal, insect",within_subtype
mosquito_net,#N/A,engine,part of car,cross_subtype
moss,plant,tree,plant,within_subtype
moth,"animal, insect",envelope,office supply,cross_subtype
motherboard,Noun,handprint,Noun,within_subtype
motorcycle,vehicle,eraser,office supply,cross_subtype
mouse1,animal,seahorse,animal,within_subtype
mouse2,electronic device,espresso,drink,cross_subtype
mousepad,#N/A,ticktacktoe,#N/A,within_subtype
mousetrap,Noun,exerciser,sports equipment,cross_subtype
mousse,"food, dessert",dessert,"food, dessert",within_subtype
mouth,body part,exhaust_pipe,part of car,cross_subtype
mouthpiece,sports equipment,saddle,sports equipment,within_subtype
mud,Noun,eye,body part,cross_subtype
muff,"clothing, clothing accessory",top_hat,"clothing, clothing accessory",within_subtype
muffin,"food, dessert",eye_patch,"medical equipment, clothing, clothing accessory",cross_subtype
mug,container,thimble,container,within_subtype
mulberry,"food, fruit",eyedropper,medical equipment,cross_subtype
mulch,Noun,telegraph,Noun,within_subtype
mullet,Noun,face,body part,cross_subtype
mushroom,food,peanut,food,within_subtype
music_box,"electronic device, toy",face_mask,sports equipment,cross_subtype
mussel,"animal, food",crayfish,"animal, food",within_subtype
mustache,body part,fan,electronic device,cross_subtype
mustard,food,yolk,food,within_subtype
nacho,food,faucet,Noun,cross_subtype
nail,Verb,cross,Verb,within_subtype
nail_clippers,tool,feather,Noun,cross_subtype
nail_file,tool,fork,tool,within_subtype
nail_polish,#N/A,fence,Noun,cross_subtype
napkin,Noun,game,Noun,within_subtype
napkin_ring,#N/A,fern,plant,cross_subtype
navel,body part,mouth,body part,within_subtype
neck,body part,ferret,animal,cross_subtype
necklace,decoration,pearl,decoration,within_subtype
needle,tool,ferris_wheel,#N/A,cross_subtype
nest,Noun,motherboard,Noun,within_subtype
net,Noun,ferry,vehicle,cross_subtype
nightshirt,clothing,cloak,clothing,within_subtype
nightstand,"furniture, container",fig,"food, fruit",cross_subtype
noisemaker,toy,marble,toy,within_subtype
noodle,food,figurine,home decor,cross_subtype
noose,Noun,canvas,Noun,within_subtype
nose,body part,file1,tool,cross_subtype
notebook,office supply,glue,office supply,within_subtype
notepad,office supply,filing_cabinet,"furniture, container",cross_subtype
nut,food,sauce,food,within_subtype
nutcracker,"kitchen tool, tool",film,Noun,cross_subtype
oar,sports equipment,hockey_stick,sports equipment,within_subtype
oatmeal,food,filter,part of car,cross_subtype
octopus,"animal, food",eel,"animal, food",within_subtype
odometer,part of car,finger,body part,cross_subtype
oil,Noun,flypaper,Noun,within_subtype
oilcan,container,fingerprint,Noun,cross_subtype
okra,"food, vegetable",brussels_sprouts,"food, vegetable",within_subtype
olive,food,fire,Noun,cross_subtype
omelet,food,gum,food,within_subtype
onion,"food, vegetable",fire_alarm,#N/A,cross_subtype
orange,"food, fruit",mulberry,"food, fruit",within_subtype
orange_rind,#N/A,firecracker,Noun,cross_subtype
orangutan,animal,alpaca,animal,within_subtype
orchid,plant,fireplace,home decor,cross_subtype
organ,musical instrument,gong,musical instrument,within_subtype
origami,Noun,firetruck,vehicle,cross_subtype
ostrich,"animal, bird",puffin,"animal, bird",within_subtype
otter,animal,firewood,Noun,cross_subtype
ottoman,furniture,coat_rack,furniture,within_subtype
outfit,clothing,fireworks,Noun,cross_subtype
outlet,Noun,siren,Noun,within_subtype
oven,kitchen appliance,first-aid_kit,medical equipment,cross_subtype
overalls,clothing,suit,clothing,within_subtype
owl,"animal, bird",fish,"animal, food",cross_subtype
oyster,"animal, food",lamb,"animal, food",within_subtype
pacifier,Noun,fishbowl,container,cross_subtype
paddle,sports equipment,tee,sports equipment,within_subtype
padlock,Noun,fishing_pole,#N/A,cross_subtype
paint,Verb,switch,Verb,within_subtype
paintbrush,tool,fishnet_stockings,clothing,cross_subtype
painting,Noun,checkbook,Noun,within_subtype
pajamas,clothing,flag,decoration,cross_subtype
palette,Noun,buoy,Noun,within_subtype
pallet,Noun,flamethrower,weapon,cross_subtype
palm_tree,plant,bamboo,plant,within_subtype
pan,container,flamingo,"animal, bird",cross_subtype
pancake,food,pasta,food,within_subtype
panda,animal,flan,"food, dessert",cross_subtype
panther,animal,leopard,animal,within_subtype
panties,clothing,flashbulb,Noun,cross_subtype
pants,clothing,vest,clothing,within_subtype
pantsuit,clothing,flashlight,Noun,cross_subtype
pantyhose,clothing,kilt,clothing,within_subtype
papaya,"food, fruit",flask,container,cross_subtype
paper,office supply,glue,office supply,within_subtype
paper_bag,container,flatiron,Noun,cross_subtype
paper_plate,#N/A,cement_mixer,#N/A,within_subtype
paper_towel,#N/A,flip_flop,clothing,cross_subtype
paperclip,office supply,rubber_band,office supply,within_subtype
paperweight,office supply,flipper,sports equipment,cross_subtype
parachute,Noun,bubble,Noun,within_subtype
parfait,"food, dessert",float,Verb,cross_subtype
parking_meter,#N/A,red_carpet,#N/A,within_subtype
parrot,"animal, bird",floss,Verb,cross_subtype
parsley,"plant, food, vegetable",cilantro,"plant, food, vegetable",within_subtype
pasta,food,flower,plant,cross_subtype
pastry,"food, dessert",tiramisu,"food, dessert",within_subtype
patch,clothing accessory,flute,musical instrument,cross_subtype
patty,food,tostada,food,within_subtype
